1605 - 02,04,05,08,09,10,11,14,16,17,18,19,21,23,25
1604 - 03,04,05,06,07,08,09,10,12,13,15,19,21,22,24
1603 - 01,02,03,04,07,09,10,13,14,16,19,20,21,23,24
1602 - 01,03,04,08,09,10,11,13,14,15,17,19,21,23,24
1601 - 02,04,06,08,09,10,11,12,13,14,15,18,20,22,25
1600 - 02,03,04,05,07,09,13,14,16,17,18,20,22,23,24
1599 - 01,03,04,05,06,08,09,10,14,18,20,21,22,23,25
1598 - 02,05,06,07,10,12,13,15,16,17,18,19,20,21,24
1597 - 01,02,05,06,07,08,09,13,17,18,19,20,21,22,24
1596 - 05,08,09,10,11,12,13,15,18,19,20,21,22,23,24
1595 - 01,02,03,04,06,07,09,10,11,13,17,18,20,22,25
1594 - 01,02,04,06,08,10,11,12,13,15,16,17,19,21,25
1593 - 03,04,05,07,08,09,10,11,13,14,16,17,20,22,24
1592 - 01,02,03,04,05,06,09,12,14,15,16,19,20,22,25
1591 - 01,03,05,07,08,10,11,12,17,19,20,21,22,23,24
1590 - 01,03,05,07,08,10,14,16,17,18,20,21,22,23,25
1589 - 01,02,03,04,06,12,13,14,15,17,18,22,23,24,25
1588 - 01,03,04,05,07,09,10,11,14,15,17,20,21,22,23
1587 - 02,03,05,07,08,11,14,15,16,17,19,20,21,22,25
1586 - 01,03,04,10,11,12,13,16,18,19,20,22,23,24,25
1585 - 01,02,04,05,06,07,09,11,17,18,19,21,23,24,25
1584 - 01,02,03,05,06,11,12,14,15,16,17,19,20,24,25
1583 - 02,03,04,06,07,09,10,14,15,16,17,19,20,23,25
1582 - 01,02,05,07,08,10,11,14,16,17,18,19,23,24,25
1581 - 03,04,05,06,07,08,11,12,13,16,20,21,23,24,25
1580 - 03,04,07,10,11,12,13,14,15,16,18,20,22,23,25
1579 - 01,02,04,06,07,10,12,13,14,15,16,18,21,22,23
1578 - 04,06,08,09,10,12,13,14,16,17,18,19,21,22,24
1577 - 03,05,06,07,09,10,11,13,15,16,17,18,19,21,24
1576 - 01,02,05,07,08,09,11,12,14,15,16,18,20,21,25
1575 - 01,03,05,06,07,09,10,11,12,14,16,17,22,23,25
1574 - 01,02,03,05,06,07,10,11,12,14,15,17,18,21,22
1573 - 02,06,07,08,10,11,12,13,14,15,16,17,18,19,23
1572 - 02,04,05,06,08,09,10,13,16,18,19,21,22,23,24
1571 - 01,03,04,05,06,07,11,12,14,17,18,19,23,24,25
1570 - 01,03,07,08,09,11,13,16,18,19,20,21,23,24,25
1569 - 02,04,08,09,10,12,13,14,16,18,20,21,23,24,25
1568 - 01,02,03,04,06,07,10,11,13,16,17,19,21,22,24
1567 - 02,03,05,07,09,10,11,12,14,15,17,18,19,21,24
1566 - 01,02,04,05,07,08,09,13,14,15,16,19,23,24,25
1565 - 01,03,06,07,08,09,10,11,12,13,15,17,18,24,25
1564 - 03,04,06,08,09,11,12,13,16,17,18,19,20,21,24
1563 - 01,02,03,05,06,09,10,12,13,17,18,20,21,22,23
1562 - 01,02,03,04,05,06,07,08,09,11,12,14,16,17,18
1561 - 03,05,06,07,08,12,13,15,16,18,20,21,22,24,25
1560 - 01,02,03,04,05,07,08,09,11,14,17,18,20,24,25
1559 - 03,04,05,06,07,09,10,11,14,16,18,19,20,23,25
